text,label
Work toward a more globally-competitive North America while expanding Canada’s trade horizons to take full advantage of markets in China and other new areas of rapid growth.,3
"A Conservative government led by Stephen Harper will ask the Auditor General to conduct, on an expedited basis, an audit of all federal grant and contribution programs and contracting policies.",5
"A Conservative government will: Create the Office of the Director of Public Prosecutions, with the responsibility to conduct prosecutions under federal jurisdiction.",1
Canadians are looking for evidence of a strong economy that brings direct benefits to them and their families.,3
"This improvement will be directed to the first tier of the benefit, which is not subject to clawback of provincial social assistance benefits.",4
and remove any requirement to abandon rights under the Atlantic Accord.,2
"Position more RCMP, Fisheries, and Environment protection officers in the North.",0
It is an ambitious international effort to ensure that 3 million people suffering from HIV/AIDS in poor countries receive urgently needed drug treatment by 2005.,0
"Modeled on proposed legislation in the US, New Democrats will take action to stop the import of toxic products and better protect Canadian children.",3
"Innovation drives competitiveness, growth, jobs and progress.",3
"To get there from here, market distortions created by a failure to internalize externalities must be removed.",3
"Expand the UNEP mandate to a supervisory one over all multilateral environmental treaties, much as the WTO supervises all trade agreements within the General Agreement on Tariffs and Trade (GATT).",4
"The Pearson scholarships will cover the cost of travel, tuition, lodging and study.",4
"For example, the Green Party of Canada will remove the GST from Arts and Culture products and services while imposing a carbon tax on burning hydrocarbons and releasing their by-products into the atmosphere.",4
"A Conservative government will: Ensure that party nomination and leadership races are conducted in a fair, transparent, and democratic manner.",1
and it is Canada’s entrepreneurs who will lead the way in the development of new technologies and products for the green economy.,3
"Two thousand years ago, when the historical Jesus of Nazereth was born, he was one of 200 million people on the planet.",3
"Through Jack Layton and the New Democrats’ Education Opportunity Plan, we will:",4
It is true that seniors use a disproportionate amount of health care dollars.,4
"Paul Martin, as Prime Minister, has demonstrated a proactive approach to Canada’s engagement in the world – a commitment to ensure for Canada an even greater role of pride and influence (see Box).",0
A re-elected Conservative Government will restore the 50 per cent inclusion rate that applied before the Liberals took office.,4
We will invest $750 million into this fund every year.,3
"If this were all just a numbers game, it wouldn’t matter very much to Canadians.",5
Housing affordability – Sound fiscal management combined with the control of inflation has led to record low interest rates.,3
A number of shortcomings have been identified in the existing program.,4
"– Expand the skills of Aboriginal people and their governments to manage their land, infrastructure and financing.",2
We see publicly-funded medicare as the Canadian ideal in action.,5
Targeted grants for low-income students could reverse this trend.,4
The Green Party approach is to think holistically.,3
"With billions of dollars in surplus, Ottawa doesn’t need new tax revenues.",3
"Support the development of initiatives to reduce the use of psychoactive drugs through better rehabilitation and prevention programs, especially for children",4
"The Liberal commitment to communities recognizes the need to help Aboriginals, especially the young, who are increasingly moving to cities in search of opportunity.",6
Respecting implementation of the inherent right to self-governance by creating legal space and recognition for the legitimacy and jurisdiction of indigenous governments with a properly compensated and trained public service,2
"Maintain the currently projected growth rates for transfers to persons such as elderly benefits and Employment Insurance,",4
"In collaboration with provinces, territories and First Nations, we will work toward a model of sustainable forest management in Canada’s boreal forests.",3
Jack Layton and Canada’s NDP will respect biodiversity by: Honouring Canada’s obligations to future generations by strengthening our support for national parks and reducing the fees they charge.,4
"– Reducing personal taxes by raising the basic personal amount, cutting marginal rates, and eventually increasing the threshold when the top rate kicks in to $200, 000;",3
and by developing a worldclass research faculty at smaller universities through the Canada Research Chairs.,4
Canada’s potential wind and tidal resources are amongst the best in the world.,5
"In our Green Vision, Canadians enjoy a higher quality of life,",4
"Re-institute the annual consultation between the Department of Justice and women’s groups to monitor progress on ending violence against women,",4
And they charge sky-high immigration fees to pay for their wasteful and corrupt spending on other departments of government.,2
* Call for the federal government to stop subsidizing all phases of the nuclear industry and Atomic Energy of Canada Limited (AECL) and stop promoting CANDU reactors.,3
Parliamentarians and Canadians will have the opportunity to debate its analysis and implications.,1
"resulting in more and better jobs for Canadians and strong, consistent economic growth.",3
And others have followed since.,0
reduce carbon/use more fossil fuels;,4
"We have witnessed the disintegration of our social safety net to the point where many Canadians, through no fault of their own, have been forced into unsafe, unhealthy living conditions.",4
Clean Air Act: to set and pursue a target that lives up to our responsibilities to the Kyoto Accord to address air pollution.,4
"– Directing the CRTC to require clear, binding, monitored and enforced performance standards for broadcasters,",4
"The results of 12 years of Liberal government are clear : education is more expensive, student debt is soaring and training is harder to find.",2
"Using this method, products and services are taxed, and thus priced, according to the positive or negative impacts caused throughout their lifecycle.",3
"It will help by enhancing our cherished social programs, especially our publicly funded, universally available system of health care, so that people get the care they need, when they need it.",4
This must change.,4
We will also lead the way in the UN Environmental Program initiative to develop a Global Mercury Reduction Agreement with key countries such as China.,0
A Liberal government will enhance the capability of the regional agencies (ACOA; CED-Q; Fednor; WD) to build the underlying capacity for sustainable economic growth and job creation – as exemplified by the Atlantic Innovation Fund.,3
"Ensure that Canadian companies abide by international human rights law and environmental standards when operating overseas, and develop and enforce sanctions if they do not.",3
provided funding to British Columbia and northern Alberta to combat the pine beetle crisis,3
Liberals agree.,4
"The regional economic development agencies (ACOA, CED-Q, WD and FedNor) all provide services targeted to assist women entrepreneurs including counselling and help with financing.",3
"Assert Canada's rights over our Arctic waters, including the Northwest Passage,",0
Green MPs would also urge Canada to purchase such opiate drugs and distribute them as part of our health and poverty related ODA programs.,3
People need good food.,4
"From now on, these appointments will be based on recommendations by experts, free of political influence.",2
Our changes will make sure each Canadian’s vote counts.,1
They are part of what makes us who we are as individuals and as a country.,5
A Nitrous Oxide Task Force will be established to recommend ways to reduce Canada’s N2O emissions by 85% by 2025.,4
"To hold government accountable for meeting these targets, Jack Layton’s legislation will:",1
cut pollution,4
Economic criminal investigations are often quite complex and require highly specialized legal teams and sophisticated information management.,2
"We have also extended successful programs that ensure essential community supports for the homeless (SCPI) and that assist low-income families, including those with disabilities, in making critical housing repairs and accommodations (RRAP).",4
Landfill gas accounts for 4% of Canada’s emissions.,4
It is important that the sentences fit the severity of the crimes.,5
"To help ensure Canadians will have adequate and affordable housing, Jack Layton and the New Democrats will:",4
"The more influential and persuasive our voice, the more likely it is that Canada will be able to encourage the world to move in a more positive direction.",0
while acting consistently with our international trading obligations.,3
A fair and objectively defined escalator formula will assure a steady increase in federal support.,2
Governments keep telling Canadians how they are going to “fix” the health care system.,4
"Creating two new national holidays to help parents spend more time with their children, one in February and one in June (August in Quebec), working towards a shorter work week, longer paid holidays and earlier and flexible retirement options, and encouraging job-sharing programs to enable families to spend more time together.",4
Expanded child care.,4
modeling this plan on European countries’ programmes that have the best track records in eliminating child poverty.,0
Now Canada ranks among the lowest of 30 OECD (Organization for Economic Cooperation and Development) countries in the ratio of doctors and acute care beds per thousand people.,4
"Direct $50 million in funding into community-based, educational, sporting, cultural, and vocational opportunities for young people at risk.",4
"Meanwhile, farmers increasingly rely on off-farm income to survive.",6
"Provided new resources for the Business Development Bank and Farm Credit Corporation specifically for venture capital investments, including at the earliest stages.",3
"Increasing the Child Tax Benefit to $4,900 per child and altering the program to permit Canada’s poorest families, who don’t pay tax, to qualify.",4
and create a federal framework for local and provincial carbon banks to encourage the purchase of local offsets.,4
– Work with communities and workers to foster the development of a viable and sustainable economic base.,3
to make Canada more competitive and better adapted to the 21st century.,3
"A Conservative government will renegotiate the Agreement on Internal Trade to end provincial exclusions, create a prompt and binding dispute settlement process, and allow greater mobility for workers.",2
A re-elected Conservative Government will do more to build pride in Canada's institutions and to project our strength abroad.,5
"In July 2003, Jack Layton joined with Greenpeace and the Canadian Auto Workers to unveil Canada’s first green car industrial strategy – one that shows how we can use technology, regulation and the private sector to create jobs by building green cars.",3
"At the core of that approach is affordable access to education and skills training, starting with an integrated early learning and childcare system.",4
and the development of fiscal tools to limit the negative impact of human activity on the Ecosphere.,4
"Increasing funding for research to halt the privatization of research on campus, allowing science to be examined on its merits, not vetted by the funding corporation.",4
and encourage the governments of Chad and the CAR to permit this.,0
f) Enhance the capacity of federal departments and agencies to protect and restore the health of aquatic ecosystems,4
"Contributions get no deduction, but withdrawals are not taxed.",3
"At 8.3 weeks, people are waiting a week longer between a GP referral and a specialist consultation than they were four years ago.",4
Helping low-income Canadians pay less for energy by making low-income residences the first phase of a residential energy retrofit program.,4
The subsequent delays for families wanting to re-unite in Canada are currently up to ten years in some places.,5
"Create an investment, regulatory, and security environment for our western ports to grow and flourish.",3
* Support changes to the Employment Standards law to provide equal protection to contract and temporary workers.,4
"Nevertheless, it appears to be moving very rapidly towards military, energy, natural resource, security, social and environmental policy integration en route to NAU.",3
Prevent the decriminalization of marijuana.,5
Cellulosic ethanol offers real potential in fuel switching in a transition to a technological leap.,3
q) Improves and strengthens the Canadian Organic Standard;,3
Providing incentives to fund public transit passes for employees by giving tax-exempt status to employer-provided transit benefits.,6
"We must ensure that commitments, like the ones made in Kelowna, are delivered in a timely fashion.",2
"A re-elected Conservative Government led by Stephen Harper will create a new, refundable tax credit on up to $500 of eligible fees for children under 16 who participate in eligible arts or cultural activities, such as music lessons, drama or art classes.",4
"At the core of our relationship, must be a respectful tone, even when we disagree.",0
"Canada has sold reactors to dictatorships, such as Argentina in the junta era.",0
"Canada is a trading nation,",3
"By putting in place a comprehensive price on carbon alongside effective regulations, we can let the market determine the most cost-effective means of reducing greenhouse gas emissions.",4
The Green Party’s down-to-earth solutions will work in Canada because they have worked around the world.,0
Higher contributions to social security and savings.,4
"Half of the increase takes effect on January 1, 2006, and the remaining instalment on January 1, 2007.",4
"In the next Parliament, we will introduce tough new rules in the legislation and agreements that govern federal transfers to provinces for health care.",4
Provide real help for Canadian workers and businesses coping with illegal American trade actions.,3
"The details and implementation of the 10-year action plan will be developed in collaboration with Aboriginal people, provinces, territories and municipalities.",2
A re-elected Conservative Government led by Stephen Harper will respect the unique needs of French-language broadcasting services in Quebec by guaranteeing alternating French- and English-speaking Chairpersons of the CRTC and that one of the two Vice- Chairpersons will be from each official language group.,5
There is a clear gain for Canada that comes from our Green Shift plan.,4
The Green Shift will be part of a broader environmental plan that we will offer to Canadians in the next election.,4
It will allow young Canadians to put money aside for purchasing a house.,3
The Green Party of Canada fully supports the Canada Health Act (CHA) and all of its principles.,4
Improvements in labour productivity drove economic growth after World War II.,3
and government needs to be responsive when it comes to farm income support and disaster relief.,6
* Establish specific job re-entry programmes for women with children who want to restart their working life either part-time or full-time.,4
"As part of the Liberal 30/50 Plan for fighting poverty in Canada, we aim to cut overall poverty by 30 per cent and cut child poverty in half within five years.",4
"* Review in collaboration with provincial and territorial governments, the current social and legal policies to ensure that citizens and law enforcement officials recognize elder abuse, prevent it where possible, and proceed with appropriate charges and punishment when elder abuse has occurred.",6
"In some parts of Canada, 60 % of people have no family doctor.",4
We recognize that human misery of this sort is not only a moral affront but also the breeding ground for despair and desperation.,0
Women there lack economic rights and political autonomy.,0
It will not be possible to implement the Tobin Tax effectively without every nation participating.,0
"It complements other Liberal commitments to green our economy, such as the Renewable Power Production Incentive that will more than double the non-emitting energy sources available to Canadians,",4
"Instead, the Conservative Government will direct resources to measures that will actually reduce the number of guns on Canadian streets, including investment in better enforcement at our borders.",5
"Refused to provide funding for urban transit and for rural transportation infrastructure, even as he collected billions per year in gas taxes as finance minister.",3
d) Provide strategic climate change program funding for water conservation on the basis that water conservation results in energy savings and reduced greenhouse gas emissions;,4
It’s about a transformative new partnership.,2
Reduce the federal government’s debt ratio to 25% within a decade.,3
The Green Party understands the need for greater corporate accountability and the lack of legal provisions that allow civil actions against the big polluters in Canada.,3
Green Party MPs will: Work in cooperation with provincial and municipal authorities to find ways to expand the scope of product responsibility programs where manufacturers are responsible for the entire lifespan of their products including recycling it at the end of its usefulness.,3
"Continuing work in multilateral arms reduction treaties to reduce and eventually eliminate chemical, biological and nuclear weapons, which are safe in no one’s hands.",0
* Shift from intervention fisheries management practices to terminal fisheries.,4
Canadians are also a global people.,5
Canada needs health care reform that delivers tangible results.,4
"A Liberal government will aggressively promote a much more effective international management regime, particularly for fish stocks that straddle the 200-mile limit.",5
"The Green Party is about shifting - shifting mind sets, shifting taxes, shifting emphasis in trade from a failed free trade model to a proven fair trade model and it is about shifting emphasis from global to local development because we recognize the limitations of fossil fuel for global trade and transportation and the need for local and community participation to achieve sustainable communities.",3
The Green Party seeks security procedures that provide rigorous standards of procedural fairness and allow meaningful defences for all detainees.,1
"Despite the hope for the future envisioned in the recommendations of the report of the Royal Commission on Aboriginal Peoples, Liberal policy about Original Peoples has been bogged down in endless processes that go nowhere.",2
Cracking down on cheque-cashing companies that are moving into the poor neighbourhoods abandoned by the banks.,3
A Liberal government will: Commit up to $1 billion of new resources over the next five years to help implement the strategy jointly with provinces.,2
Amend the Canadian Human Rights Act to include gender identity and gender expression and identity among the prohibited grounds for discrimination.,1
"In addition to the significant tax measures already described, every rural Canadian tax filer will receive up front, each year, an annual Green Rural Credit of $150.",6
2) Improve Our Chronic Care System,4
– Raising the federal contribution to health human resource planning with provinces and territories to increase the number of residency places in family medicine and public health.,2
"education and meaningful work,",4
The legislation will provide for the Commissioner to be appointed by Parliament with the consent of Opposition parties.,1
"Raise the threshold for the small business tax rate from $300,000 to $400,000,",3
"While other laws such as the Hazardous Products Act (HPA) and the Food and Drugs Act (FDA) can sometimes be used to regulate such products, these laws are inadequate in addressing the human health and environmental risks.",4
Emphasize climate change solutions and adaptation strategies.,4
"Combat identity theft and control online computer fraud against innocent consumers and seniors, including spamming and “phishing”.",5
Keep governments accountable for their promises and obligations by appointing a Parliamentary Commissioner to use international and mutually-acceptable standards as the basis for regular public report cards on government conduct.,1
* Address inter-provincial/territorial and international water-related concerns by demanding that government:,4
Created a new agency to accelerate the process of continuous improvement in the nonpartisan public service.,2
"These tax cuts will allow Canadians to keep more of the money they earn,",3
People with disabilities are more likely to be unemployed or working on the margins.,6
"Relations with the United States – The government is determined to forge a more sophisticated relationship with Canada’s closest friend, ally and economic partner.",0
"and to preserve Canada’s sovereignty, notably in the high Arctic.",0
A Liberal government will work to ensure that we do.,3
Create a new offence for possession of precursors for the purpose of meth production.,5
Our plan's budgeting is based on the revenue projections in Budget 2008.,3
"the $1 billion Advanced Manufacturing and Prosperity (AMP) Fund that will stimulate green manufacturing,",4
Those who post bail need to be held accountable if the accused does not show up in court.,5
"We will provide new resources to help to assess, train and place international medical graduates who wish to work in Canada in family medicine.",4
"The level of the payment will be regionally set at a level above poverty, but at a bare subsistence level to encourage additional income generation.",3
It won’t be easy.,3
"Many Canadians see a disconnect between the severity of the crime, the length of prison sentences and the availability of parole.",5
Redesigning federal government programs to improve small business access to venture capital.,3
The federal government’s disengagement in the 1990s was a monumental mistake.,2
Take-home pay of Canadians has been nearly stagnant for a decade.,3
"Since the next president of the United States, be he a Republican or Democrat, has already committed to pricing carbon, this will likely not impact our largest trading partner.",0
. . . It’s a breach of faith.,0
Adopt Germany’s system of mandatory recycling and “design for recycling”.,0
"Most Canadians’ experience their government at the level where it collects their recycling, runs their buses and provides their water.",2
To make Canada truly accessible and inclusive requires a national effort to provide supports and services.,4
The ice bounces back the sun’s rays (the albedo effect).,4
"On April 19, the Prime Minister and 26 cabinet ministers met with senior members of the Aboriginal community to set an agenda for action, one that will bring improved results and strong accountability.",6
while securing an enhanced quality of life in rural Canada.,6
"In the 21st century, we can’t disconnect problems.",4
"Disputes over softwood lumber, agriculture, and fishing rights just never seem to get resolved.",3
"Canada is a middle power in the world community, but we have not been short of influence and ambition, nor weak of resolve.",5
Debt reduction is treated as an afterthought – what to do with money that the Liberals can’t spend fast enough.,3
"People from the Original Nations of Canada can and do make prominent contributions to a better Canada and a better world: in the arts, media, science, government, business, health and education.",5
"Scientists are increasingly talking about climate as being less a dial, than a switch.",4
"We will prohibit conditional sentences for child sex offences, to ensure that all of those charged with these offences will serve prison time and be removed from the community.",5
Prevent legal intimidation of ordinary people by limiting the rights of corporations to sue groups and individuals only for actual loss.,3
"As former Foreign Affairs Minister John Manley has said, “You can't just sit at the G8 table and then, when the bill comes, go to the washroom.”",2
The Registered Retirement Savings Plan is a very popular savings and investment option for many Canadians.,3
"Thanks to this loophole, some MPs have accumulated large, secret trust funds.",2
Countries where Greens have served in government are the countries creating new high-paying jobs,3
"The US rate flattens out for incomes above US$336,000 at 35 percent).",4
supported by ecological health.,4
while maintaining Canadians’ traditional commitments to justice and the rule of law.,5
Ensuring gender equality will be a common theme cutting across all five sectors.,4
A fundamental obligation of government is the protection of public safety.,5
A Liberal government will dedicate $100 million – fully half the funding required by the World Health Organization to provide the technical support for the WHO’s “3 by 5” plan.,0
"We opposed the arbitrary, secretive and restrictive measures of the legislation and continue to do so.",1
"Industry Canada’s Network for Women Entrepreneurs in Ontario provides web portal access to a wealth of business information for women, in addition to personalized mentoring services.",3
"Recognizing the fundamental differences that constitute Quebec being a nation within Canada and working with Quebec to obtain common objectives with equitable outcomes, with the option of Quebec opting out of new federal programs with compensation to pursue common objectives and standards in a provincial program.",2
* Prohibit the export of fissionable nuclear material.,3
"Fund energy retrofits for museums, universities, schools and Hospitals.",3
"As a first step, a re-elected Conservative Government will launch a Joint Force Land and Marine Border Patrol Pilot Project with the Customs and Border Services Agency and the RCMP to patrol unguarded U.S. road and marine crossings to Canada in Quebec.",5
A Conservative government will set fixed election dates every four years.,1
"A Liberal government will take the steps necessary to put Canadians at the forefront of technological development, leading the way to solutions to global challenges.",3
– Canada’s North is at a critical juncture.,3
We will make importers responsible for costs of inspecting and ensuring the safety of their products.,3
"and relocation of their communities due to the melting of permafrost,",5
And we will ensure that it benefits more families by phasing it out more slowly.,4
The Green Party of Canada will maintain breadth and flexibility in its economic calculations.,3
"and the rights of women,",4
All of these are municipal responsibilities,1
Canadians overwhelmingly called on the federal government to immediately eliminate this legal loophole.,5
"That relationship must be built at many levels: federal government to federal government, as well as federal government to civil society, and other levels of government.",0
Lower debt charges have permitted significant and steady tax cuts.,3
public health emergencies (such as the SARS outbreak) or other public emergencies such as last summer’s electricity blackout in Ontario.,5
"It will: Work cooperatively with all stakeholders towards meeting 35 percent of Canada’s energy needs with renewable energy by 2020, including hard targets for renewable fuels, biomass, wind power and other renewables.",3
On smog alert days our emergency wards are packed.,4
"A Conservative government will pick up the ball this government has dropped and establish a new relationship with the provinces, while clarifying the roles of both levels of government.",2
"Liberal programs to support infrastructure; to assist small businesses; to fund environmental clean-up; and the on-going activities of the Department of National Defence and of departments such as Agriculture and Agri-Food Canada, Fisheries and Oceans Canada, and Natural Resources Canada, among others, all contribute to regional development.",2
"A Conservative government, in consultation with the provinces and aboriginals, will support the principle of allowing parents to choose which schooling they want for their children, with funding following the students.",4
"In 1996 the Green Party of Canada became the first federal party to officially support the inclusion of same-sex couples in civil marriage, and we are pleased that this issue is now settled.",4
"In Sweden, it has been projected that carbon dioxide emissions were reduced in 2000 by 20-25 per cent more than would have been the case through other policies.",4
"It’s time for a bold plan based on Kyoto’s targets and time frames, using Kyoto as a trigger for transformation and recognizing that, as with calculators and computers, the more new technology is used and sold, the cheaper it becomes.",4
"In addition to promoting free trade, we should examine deepening the NAFTA relationship to harmonize tariffs and eliminate rules of origin, enhance environmentaland labour standards, and cooperate on common security issues.",3
"As the price of climate pollution increases, these bonds will close the price gap so that the development of renewable energy is price competitive with the development of fossil fuel resources.",3
We will build towards the 10-year goal of the One Percent Solution – with one percent of federal spending allocated for truly affordable housing.,4
"In addition, the government will work with the provinces and professional associations to determine an appropriately expanded role for nurse practitioners and other health care professionals to reduce the load on doctors in frontline care.",4
"we must invest more in education and training,",3
"In Canada today, there are over two million children under the age of six.",6
"There are six major east-west routes for shipping through Arctic islands in Canadian territory,",5
Working with provinces and territories to help attract and retain immigrants to maintain labour force and population objectives.,6
Climate change is the number one issue on Canadians’ minds and the biggest crisis facing our planet.,4
"Amending the current immigration laws, which currently bar most immigrants that would have been admitted during the Trudeau era.",6
Canada’s national rail systems are in decline.,3
"With cleaner air, cleaner water, better use of nature’s bounty and concerted action on climate change, Canada will be more competitive in a future global economy that must make the transition to sustainability.",3
"We will accelerate and deepen the currently planned corporate tax cuts, reducing the general corporate tax rate by an additional one per cent within four years.",3
The time has come to take bolder steps to prevent and cope with this major source of suffering and disability.,4
Canada is regarded internationally as a progressive country with a binding set of values.,5
Support a national research agenda through the Canadian Institutes for Health Research for the development of future wait time benchmarks and for research on the management of wait times and better patient-centred access.,3
"A Conservative government will allow Parliament to review and ratify important appointments, such as Officers of Parliament, Supreme Court Justices, and heads of major Crown corporations and agencies.",1
"We will also expand programmes in reproductive rights and education to avoid unwanted pregnancies,",5
"ensuring (through contractual agreements) that the funding is not used in ways that encourage urban sprawl, but instead to reduce sprawl and greenhouse gas emissions, conserve electricity and water, increase densification, expand convenient, safe, reliable and affordable public transit, and build cycling and walking paths.",3
This leads to greater worker and family stress.,4
"Nevertheless, governments will need to spend more in the years ahead to achieve Canadians’ health care goals.",4
The abolition of the program should be phased in to protect students currently receiving Millennium Scholarships.,4
"Working with like-minded countries throughout the world to negotiate a fair trade agreement that respects existing environmental, social and labour treaties.",3
Each policy has been examined through the following lenses:,2
"Develop renewable energy sources so that by 2040, wind energy production reaches 50 GW, solar PV 25 GW, ocean energy 12 GW, geothermal 25 GW.",3
"We treasure our country’s great wilderness, its forests, rivers and lakes.",4
a) Replace federal guidelines for drinking water quality with binding national standards that secure clean drinking water and human health;,4
All ten provinces have now signed agreements with the federal government based on a nationally shared vision.,5
