text,label
27. the eff government will build storm water drains in every street in south africa by 2022.,3
"we will create a police corps, in which participants would receive college aid in return for several years of service after graduation in a state or local police department.",5
and will work constructively with our european partners to ensure progress in this area.,0
"to master the global economy, our work force must be creative, independent, and able to adapt to rapid change.",3
"the n4l will break down barriers of distance and time, and ensure that all students have access to the very best resources.",4
"a continuous performance monitoring and appraisal system for education professionals is implemented because we cannot fail our learners and compromise their future,",4
"insist that traditional leaders promote peace, stability and social cohesion in their communities.",5
and that people are not forced to have prepayment meters.,4
we know how different they taste.,2
and our investment in improved infrastructure will help welsh companies benefit even more from the uk single market than they do now.,3
• take an active role in standards and quality issues and promote their importance to industry.,3
we will extend this highly successful model with early assessment initiatives and targeted wait times to other conditions.,4
"if we don’t invest in our children we certainly pay for it in (newspaper heading: ‘nz’s child poverty rate one of highest’) in our young people being unemployed, poorly educated, (newspaper heading: ‘child poverty getting worse’) in the criminal justice system.”",4
• improving substance abuse services.,4
"labour’s strategy tackles the causes of teenage pregnancy, provides mothers under 18 with access to supervised housing if they cannot live at home, and ensures that, if they do have children, teenagers get access to training, education or work.",6
a flexible and fair labour market is critical for building a stronger and more competitive economy and creating jobs.,3
we undertook a comprehensive review of the scheme to ensure it is fit for purpose going to the 2020s,4
"we oppose, however, the granting of refugee status on the basis of lifestyle or other non-political factors.",6
introduce an additional refundable tax credit for carers;,4
"we support family literacy, which improves the literacy, language, and life skills of both parents and children along with the continued improvement of early childhood programs, such as head start, from low-income families.",5
more people die every year in this country from social inequality than died in northern ireland in all the years of the troubles.,4
engaging parents in education,4
ensure that essential health and safety products such as sunscreens being promoted to our community have undergone independent evaluation and/ or review.,3
the greens’ affordable plan to give more australians access to the healthcare they need includes a commitment to:restore the funding model where the commonwealth and the states share the rising costs in delivering hospital services evenly,4
• move towards providing a living allowance for all students over time.,4
"and the total failure of government policy in this area, with many householders and businesses unable to connect to a broadband service.",2
 there are part charges for primary health care but not for secondary care;,4
put an extra $100 million into disability services since 2008.,4
"− save businesses $247 million a year, or $1120 for an average business with seven employees.",3
"we undertake to guarantee that everyone’s basic needs and rights to food and warmth, housing, health, education and childcare are met",4
fine gael will reform ireland’s hugely over-centralised model of government.,2
and ratepayers have more say in what their rates are spent on.,1
we will change company law to permit a german-style two-tier board structure to include employees.,3
"we reject the agendas of both the kyoto protocol and the paris agreement, which represent only the personal commitments of their signatories;",0
"they allow people to work when it best suits them, and around arrangements they have made for childcare and their other caring responsibilities.",5
and the elderly.,6
"our plan has three pillars: science and research: improve science and research and monitoring of reef issues to ensure the protection and sustainability of the reef is based on the latest, specialised science.",4
