text,label
"our higher education institutions play an important role in the national and local economies in attracting research investment, qualified staff and students to their localities.",4
the nation's capital is a special responsibility of the federal government.,4
households earning less than r4000 a month will qualify for a voucher of between r130 000 and r150 000.,4
"we need to improve our ability to gather, analyze, and share information so we can track down terrorists and stop them before they cause harm.",5
"whether it's the black sands of taranaki, the blue-green water of waimarama in the hawke's bay or the majestic dunes of sandfly bay in dunedin, we have beaches to be proud of.",4
providing people with certainty about their healthcare and ensuring timely access to quality services is essential.,4
"therefore, any borrowing the uk treasury and ni executive embark upon to develop infrastructure should seek to prioritise sharing.",5
"as republicans who believe in the power of ownership to create better lives, we want more people to own a home.",4
"as well as having an enormous impact on current supply and distribution models, 3d printing is already bringing about an attitudinal shift in production and design.",3
"we face a dangerous world, and we believe in a resurgent america.",0
"president bush will also vigorously defend the defense of marriage act, which was supported by both parties and passed by 85 votes in the senate.",5
it is important for families to have the option of staying together wherever possible,5
"ukip will support the installation of rapid charging stations in towns and cities, and encourage off street parking and charging provision in all new housing and industrial developments through the local planning process.",3
propose a more accurate definition of a ‘local person’ in planning guidelines and development plans to mean either a person born and reared in a rural area; a person who has lived in a rural area for at least 7 years,2
other countries are aware of new zealand's unique circumstances.,0
we will reduce the maximum stake on fixed odds betting terminals from £100 to £2.,3
our national debt is a burden on our economy and families.,3
a tax originally designed for high earners should not be levied on middle-income professionals such as teachers and senior nurses.,6
the internet must be made safe for children.,6
"in the face of new uk cuts, we remain absolutely committed to the scottish health service.",4
work towards a shorter working week.,6
"all the while, we have built the foundation for sustained american leadership by growing our economy,",3
and to avoid duplication of resources.,3
new labour believes that crime can only be cut by dealing with the causes of crime as well as being tough on criminals.,5
whilst also paying attention to parts of the country left behind because of poor transport connections.,3
"uniformity is the enemy of innovation, change and ongoing improvement. resources go further when users of public services choose and shape their delivery, and are well informed about quality.",2
economics and environmental research.,3
encouraging community leadership: budget 2017 provided an extra $4m over four years to support community-led development projects,5
$4.5 billion has been cut from schools in south east queensland.,4
"improve rights and protection for casual, seasonal, fixed term and temporary workers.",6
"we will establish an independent pensions’ commission, modelled on the low pay commission, to recommend target levels for workplace pensions.",4
"this will include supporting more people to remain at home at the end of their life, including those who are terminally ill with the greatest care needs.",4
"followed by ring-fencing at least 12% of the health budget for mental health services,/ as recommended by the un world health organisation.",4
"permitting for a safe, non-polluting hydroelectric facility,",3
"it will require patience, perseverance, and the steady accumulation of concrete actions.",0
it is to our great benefit that we are well placed in their market of 1.2 billion people.,3
and increase relocation grants for those who have to move to take up employment;,6
excessive mandates on coverage should be eliminated.,4
and continue to provide enough funding to fix around 18 million potholes nationwide between 2015 and 2021.,3
where we can be: wales can lead the way in the protection of wildlife and biodiversity levels as key elements of our environment.,4
"to give emerging countries, particularly africa, a greater voice.",0
we will ensure that employees and employers get relief (when the increase in the minimum wage under sinn fein is implemented) by increasing employee and employer prsi bands in line with the increase in the national wage.,3
this will enable us to end the use of police cells for people facing a mental health crisis.,4
and massive debt.,3
"our nation has been enriched by their determination, energy, and diversity.",5
"and to ensure a productive, competitive economy.",3
"currently police forces rarely undertake this level of investigation, which allows flawed systems to remain in place.",5
increase unannounced spot checks by the appropriate australian government agency as part of the national accreditation system to strengthen the current validation and accreditation process.,4
the military is not sheltered employment.,0
spend $100 million over 10 years to buy and retire selected areas of farmland next to important waterways.,4
extended adult tests for bail to 17- to 19-year-olds if they have previously served prison time.,5
"as part ofthis, one of the key actions of action plan for jobs (apj) 2016 will be to fund locally delivered courses for women which will comprise a series of training opportunities on selfdevelopment and work-related skills to assist a return to the labour market and promote entrepreneurship.",6
and improved safety features and standards.,4
