text,policy
democrats believe that the united states should defend freedom of the press.,1
"use a range of incentives to ensure that a ‘universally accessible’ new zealand applies to infrastructure, transportation, information, and other services.",3
sdlp mps will fight to protect eu nationals who have made their home here.,5
"in time, we envisage a minimum base line funding for mental health services of 10 per cent of current health spending.",4
"children from socially deprived backgrounds are adversely affected because their applications for places are most likely to be turned down, especially if parents are unable to pay for ‘top-ups’ such as meals, nappies and so on.",4
$3 million to build a 10 bed hospice at the allambi facility in northern tasmania.,4
the anc has decided to provide jobs for its supporters and to appease the powerful public sector trades unions in a context where the economy is actually contracting.,2
"northern ireland is now a venue not just for international investment, but for events that would not have considered coming here just a few years ago.",5
"we will: make saving energy a top infrastructure priority,",4
advocating a wider future economic relationship for our region beyond the terms and scope of the current ireland/northern ireland protocol.,0
"the department for international development,",2
australians are a generous people.,0
"though more work remains to be done, including reauthorizing the small business administration, president bush and congressional republicans have made good on each of those commitments.",3
"in recent years some of these services have been provided through charities and community employment and partnership schemes, which have been vulnerable to cutbacks during the recent downturn.",5
"when consumers make decisions about health care, individuals control their health care dollars and health care decisions.",3
$2 million to redevelop the bendigo tennis centre and support the cultivation of future tennis stars in regional victoria.,3
" simplify, with a view to reducing, the quantity and complexity of compliance requirements that early childhood education and care providers must fulfil.",4
we will not allow the nhs or third parties under contract to employ home care workers on zero hour contracts of any kind.,6
national has a comprehensive plan to secure the future of quality care for older new zealanders.,4
we will continue to uphold our key alliances.,0
"we’ve voted: against tory plans, backed by labour in january of this year, for an extra £30 billion of spending cuts.",3
make homes england a more accountable national housing agency,4
ensuring the law treats all children equally regardless of family status or the sexual orientation or gender identity of their parents.,1
many communities are already responding to this challenge and the results of their work are most encouraging.,5
establish a centre of excellence for alternative energy charged with ensuring ireland develops a world class alternative energy sector.,3
we will sustain it and make it a service that everyone can be proud of and others envy.,4
households earning less than r4000 a month will qualify for a voucher of between r130 000 and r150 000.,4
the price the nhs pays for drugs will not be on the table.,3
influx control and a lack of urban planning have resulted in a crisis that is at the very root of many of our social problems.,5
"we will find £12 billion from welfare savings,",4
create new tourist products and add value to our existing products.,3
"we are determined to build a 21st century immigration system that embodies our values,",5
reinstate extra funding for ece centres that employ 100 per cent qualified and registered teachers,4
we will strengthen the powers of bai (or its successor) to facilitate an agreement on a commercial multiplex.,4
"as climate change continues to lead to more turbulent weather activity, we need to be ready with a plan that will deal with the inevitable flooding that will come.",4
part of this is ensuring we continue our proud heritage as a nation that respects and embraces diversity.,5
and give our nhs workers the pay they deserve.,6
"and a new sustainable economy act, including targets for new soil quality and biodiversity standards.",4
redesigning course material around the new technology and completing a radical teacher-training programme.,4
labor built medicare and we will always fight to protect it. labor will reverse the government’s freeze on the medicare benefits schedule.,4
and the environment.,4
this will include legislating financial reforms to provide enhanced access to capital for community economic development,2
"we will set out a strategy to rationalise the use of personal data within government, reducing data duplication across all systems, so that we automatically comply with the ’once-only’ principle in central government services by 2022 and wider public services by 2025.",2
redevelopment of the stadium at lansdowne road,4
good state servants freed up for more productive jobs,3
the future is exciting for new zealand.,5
"we will bring forward cat microchipping, giving cat owners peace of mind and increasing the measures we have available to tackle cat theft.",5
"wild fish, natural forests and productive agricultural soils represent some of the real wealth of a nation.",5
we will make sure the wealthy pay their fair share in taxes.,4
yet scotland can be a real and independent nation again.,2
act’s flat tax rate of 19.5 cents in the dollar includes seven cents to go into each taxpayer’s private pension fund as a contribution to their pension and health care in retirement.,4
we will ensure appropriate funding for gps to meet rising costs of indemnity in the short term while working with the profession to introduce a sustainable long-term solution.,4
the restoration of devolution to northern ireland has created the peace and political stability to encourage foreign direct investment at record levels.,3
"more than 3,500 prisoners in education and over 4,600 achieved qualifications",4
"and put 6,000 low-paid workers out of a job.",6
