text,policy
democrats believe that the united states should defend freedom of the press.,2
"use a range of incentives to ensure that a ‘universally accessible’ new zealand applies to infrastructure, transportation, information, and other services.",4
sdlp mps will fight to protect eu nationals who have made their home here.,6
"in time, we envisage a minimum base line funding for mental health services of 10 per cent of current health spending.",5
"children from socially deprived backgrounds are adversely affected because their applications for places are most likely to be turned down, especially if parents are unable to pay for ‘top-ups’ such as meals, nappies and so on.",5
$3 million to build a 10 bed hospice at the allambi facility in northern tasmania.,5
the anc has decided to provide jobs for its supporters and to appease the powerful public sector trades unions in a context where the economy is actually contracting.,3
"northern ireland is now a venue not just for international investment, but for events that would not have considered coming here just a few years ago.",6
"we will: make saving energy a top infrastructure priority,",5
advocating a wider future economic relationship for our region beyond the terms and scope of the current ireland/northern ireland protocol.,1
"the department for international development,",3
australians are a generous people.,1
"though more work remains to be done, including reauthorizing the small business administration, president bush and congressional republicans have made good on each of those commitments.",4
"in recent years some of these services have been provided through charities and community employment and partnership schemes, which have been vulnerable to cutbacks during the recent downturn.",6
"when consumers make decisions about health care, individuals control their health care dollars and health care decisions.",4
$2 million to redevelop the bendigo tennis centre and support the cultivation of future tennis stars in regional victoria.,4
" simplify, with a view to reducing, the quantity and complexity of compliance requirements that early childhood education and care providers must fulfil.",5
we will not allow the nhs or third parties under contract to employ home care workers on zero hour contracts of any kind.,7
national has a comprehensive plan to secure the future of quality care for older new zealanders.,5
we will continue to uphold our key alliances.,1
"we’ve voted: against tory plans, backed by labour in january of this year, for an extra £30 billion of spending cuts.",4
make homes england a more accountable national housing agency,5
ensuring the law treats all children equally regardless of family status or the sexual orientation or gender identity of their parents.,2
many communities are already responding to this challenge and the results of their work are most encouraging.,6
establish a centre of excellence for alternative energy charged with ensuring ireland develops a world class alternative energy sector.,4
we will sustain it and make it a service that everyone can be proud of and others envy.,5
households earning less than r4000 a month will qualify for a voucher of between r130 000 and r150 000.,5
the price the nhs pays for drugs will not be on the table.,4
influx control and a lack of urban planning have resulted in a crisis that is at the very root of many of our social problems.,6
"we will find £12 billion from welfare savings,",5
create new tourist products and add value to our existing products.,4
"we are determined to build a 21st century immigration system that embodies our values,",6
reinstate extra funding for ece centres that employ 100 per cent qualified and registered teachers,5
we will strengthen the powers of bai (or its successor) to facilitate an agreement on a commercial multiplex.,5
"as climate change continues to lead to more turbulent weather activity, we need to be ready with a plan that will deal with the inevitable flooding that will come.",5
part of this is ensuring we continue our proud heritage as a nation that respects and embraces diversity.,6
"it is also about care for children, especially the 58,000 children in care.",0
and give our nhs workers the pay they deserve.,7
"and a new sustainable economy act, including targets for new soil quality and biodiversity standards.",5
redesigning course material around the new technology and completing a radical teacher-training programme.,5
labor built medicare and we will always fight to protect it. labor will reverse the government’s freeze on the medicare benefits schedule.,5
and the environment.,5
this will include legislating financial reforms to provide enhanced access to capital for community economic development,3
"we will set out a strategy to rationalise the use of personal data within government, reducing data duplication across all systems, so that we automatically comply with the ’once-only’ principle in central government services by 2022 and wider public services by 2025.",3
redevelopment of the stadium at lansdowne road,5
good state servants freed up for more productive jobs,4
the future is exciting for new zealand.,6
"we will bring forward cat microchipping, giving cat owners peace of mind and increasing the measures we have available to tackle cat theft.",6
"wild fish, natural forests and productive agricultural soils represent some of the real wealth of a nation.",6
we will make sure the wealthy pay their fair share in taxes.,5
yet scotland can be a real and independent nation again.,3
act’s flat tax rate of 19.5 cents in the dollar includes seven cents to go into each taxpayer’s private pension fund as a contribution to their pension and health care in retirement.,5
we will ensure appropriate funding for gps to meet rising costs of indemnity in the short term while working with the profession to introduce a sustainable long-term solution.,5
the restoration of devolution to northern ireland has created the peace and political stability to encourage foreign direct investment at record levels.,4
"more than 3,500 prisoners in education and over 4,600 achieved qualifications",5
"and put 6,000 low-paid workers out of a job.",7
our goods and services exports to the trans-pacific partnership markets were worth $107 billion in 2014-15 – a third of all our exports.,4
we will ensure that law-abiding citizens are free from unreasonable fees and the threat of criminalization.,7
"ensuring that access to the internet is protected as a basic right, in line with the united nations human rights commission’s resolution that the rights citizens enjoy offline, such as access to information, are also applicable online.",2
and to eventually ridding the planet of these catastrophic weapons.,1
the cost to government and the community of regulating drug use to be reduced with improved health and social outcomes.,5
"we will ensure that america has a 21st century digital infrastructure – robust wired and wireless broadband capability, a smarter electrical grid, and upgraded information technology infrastructure in key sectors such as health care and education.",4
"streamlined visa processes and cut red-tape for high-quality international education providers, to help them attract international students to new zealand.",6
our investment of an additional £2 billion a year in education and training will improve skills and increase the nation's knowledge base.,4
- proposed significantly streamlined planning rules for the central city living zone.,4
* give fsc certified forest companies a full five-year full tax break upon certification.,4
"and in any case the legacy of bill birch's ""think big' public debt is that there is simply no money left to throw.",3
and we will enshrine the military covenant in the nhs constitution.,1
the coalition will provide $2 million to the establishment of the hub at utas in launceston.,7
"at present, our system of accounts offers no indication of changes to our environmental assets.",5
"by taking parents on their children's educational journey with them, we not only improve the child's chances at an education, but can give their parents an opportunity to improve their own eduction.",5
end church control over education.,6
 ensure the access regime applies to all private land (including maori land) for the purposes of ensuring access to public land for all legal pursuits;,6
"a re-elected conservative government will increase support for the agri-marketing program to help promote canada's agricultural and agri-food products around the world, building on our international reputation for excellence",7
this will be essential to keep up with the disruptive impact of new technology.,4
launching the action plan to address family violence and violent crimes against aboriginal women and girls.,5
our constitution and laws guarantee equal rights for all south africans.,5
– retrofit 75% of all buildings used by the federal government and its agencies between 2006 and 2010.,5
fine gael will continue to pursue a balanced migration policy that supports our economy and meets our international and humanitarian obligations,6
"ukip has no hesitation in guaranteeing their right to remain here, whatever the eu decides with regard to the rights of british citizens overseas.",7
it would make sense to locate them in the khuphuka opportunity centres which would replace the national youth development agency (and labour centres) and would provide entrepreneurship training and advice and career counselling.,4
and get rid of interest charges on all student loans.,5
free gp visits and prescriptions for children under 13.,5
"we will oppose new taxes that increase inequality, like lifting the gst, and support new taxes on environmental harms, such as carbon pollution, and new taxes that tackle inequality, like a new marginal tax rate for millionaires.",5
"from a consumptive perspective the major energy products consumed in australia are approximately coal (37%), oil products (35%), gas (23%) and renewables (5%).",4
we will begin screening men at 30 years and specifically for prostate cancer.,5
"running a four-year bowel screening pilot, at a cost of $24 million, to help identify bowel cancer at an early stage.",5
crippling underfunding is driving up class sizes and forcing schools to cut corners.,5
• investigate the real levels of hospital debt and alternative means of accounting for and/or servicing it.,5
and prohibit mps from accepting paid lobbying work.,2
one for one – simple and fair!,5
demands made on the public health system continue to rise as people live longer and new medical technologies become available.,5
"reviewed and overhauled the rma, employment law, the ets, and electricity and building regulations.",3
ireland faces a demographic revolution for which it is largely unprepared.,5
and legislate to ban the importing of hunting trophies where the hunting does not contribute to environmental protection.,5
"abide by the provisions of the 1951 refugee convention and related international agreements,",1
"this includes protecting and promoting the district nursing service, and developing specialist services as required for people with particular needs such as children, older people and those in need of palliative care.",5
"the legislation was rooted in a historic agreement with the assembly of first nations and was backed by significant new funding for core education programming, including language and cultural programming.",6
"registered partners will be entitled to compassionate leave from employers in the event of serious illness or the death of their partner, along the lines granted to married couples.",7
"our vision is ambitious: safe and reliable childcare nationwide, allowing all parents to combine home and work, confident in the childcare they have chosen.",7
the liberals have failed for over ten years to reform parliament.,3
"open standards mean that data is stored and formatted in a way that is clearly defined and accessible, and preserves access to the data.",4
their ideas are wrong for new zealand.,3
•cut health and hospital services.,5
ensure that we retain the common travel area,1
"this requires that it is simplified, flexible, and easily measurable on its key objectives.",3
"climate change,",5
"we will work to ensure a stable constitution that is fair to the people of england, scotland, wales, and northern ireland.",2
"labour will:introduce an entirely flexible voluntary withholding tax, to let businesses meet their tax obligations at a rate of their choosing and on their own timetable, rather than the current rigid system of provisional tax.",4
"which would drive many british businesses, including most farmers, out of business.",1
"remove ‘tick-box’ and quota arrangements from sickness and disability assessments, thereby streamlining and speeding up the assessment processes",3
we will transfer the policy and science branches of fisheries and oceans to the east and west coasts to better understand and respond to the concerns of fishers.,4
"following our introduction of the intermediate care fund in the 2013 budget, plaid cymru will continue to promote adapted housing that allows residents to choose to stay in their own homes or specially-built accommodation, rather than move into care.",5
"ensure transparency in supply chains and pricing mechanisms and enhance competition to ensure value stays in the market, enabling a fairer price to farmers and processors.",7
foster closer ties between the farming and scientiﬁc communities;,7
we will also provide a modern and reformed framework for judicial expenses.,3
both parties administered a disastrous £12 billion nhs it project which ultimately failed.,5
encourage innovation and the development of small-scale appropriate technologies.,4
we are on our way to government.,3
expand publicly-funded topo-culture research through rural new zealand.,7
"the president and the democratic party believe that trafficking in persons is both an affront to our fundamental values and,",2
republicans believe that the united states must continue to work to complete a free trade agreement with the nations of the southern african customs union to create new opportunities for farmers and workers and entrepreneurs all across africa.,4
seventy per cent of those who will be in the workforce in the year 2000 are already in paid employment.,4
"pbp will reduce class sizes, working towards a maximum of 18 at primary level, at senior level 24 pupils in single age classes; 20 pupils in two-age-group classes; 15 pupils in classes of three or more age group;",5
all our people must have the opportunity to reach their full potential,5
and schemes to enable pacific islanders to start their own businesses.,7
they might be regarded as similar to medical interns who volunteer to work in especially overburdened hospitals in order to enhance their professional skills.,5
 provide home-grown timber,4
"raising the cap on medical school places will help deliver the 10,000 additional gps the profession needs by 2025.",5
"introduced the $2,000 family tax cut for families with children.",5
"new zealand first will:make excellent quality public transport for people in all major population centres, and in regional areas where there is a need, a major priority.",4
we will: increase statutory paternity leave from the current two weeks up to six weeks,5
"while donald trump wants to default on our debt, which would lead to a disastrous global economic crisis,",4
we will reaffirm the canadian government's position that nafta cannot require canada to export bulk water to other nafta countries.,4
forces struggled to find resources to investigate violent crimes.,6
" generally work to ensure that schools, sporting organisations and individuals are free to organise and participate in outdoor events without fear of legal reprisal if something not easily foreseen goes wrong;",5
the rights and reciprocal obligations consistent with being part of a collective.,6
reform the delivery of public services to ensure that they meet the needs and expectations of the public;,3
we will progressively increase funding to the marine by €25m per annum each year for five years.,7
• require transit new zealand to give greater weight to public transport.,5
"our nation is experiencing some of the greatest challenges in a generation, but it is also a time of great opportunity if we come together as a community.",6
"however, we believe that the case for reform is now overwhelming.",2
"improving pay and benefits for members of the forces, and exempting them from paying income tax on money earned while serving on high-risk international missions.",1
"or have we learnt from energy, water and rail that down that road lies private gain rather than the common good?",4
we believe this is how to make life better today and create a future where local people and businesses can thrive.,5
energy storage,4
"it is time for smart, strategic investments that will turn our economy around and get it growing again.",4
provided $6. 5 million for five new dedicated eating disorder beds at starship hospital and a new nine-bed residential service in auckland.,5
supporting those which perform well.,3
"democrats believe that our force is stronger when it reflects the richness and diversity of american society,",1
the accord went a long way toward restoring the cuts to health care of the martin years.,5
• funded pacific-language ece centres to give pacific children a better start in life.,6
"ensure that the women born in the 1950s are properly compensated for the failure of government to properly notify them of changes to the state pension age, in line with the recommendations of the parliamentary ombudsman.",5
increase localised food self-sufficiency,7
"implement “orderly” marketing where industry structures undermine reasonable market power to producers (as perceived currently in dairy, egg and sugar industries); | and",7
"unconstitutional and excessive purges of the voter rolls,",2
providing funding to cpfs on the basis of pre-determined action plans allowing them to implement community projects.,6
"we will therefore also legislate to enshrine a definition of domestic violence and abuse in law, providing the legal underpinning for everything in our new act.",6
allow pensioners and the registered unemployed to travel free of charge on subsidised local transport during off-peak hours.,5
"labour would impose a raft of new taxes on new zealanders,",4
"the inadequate funding of non-profit organisations, like children's homes and homes for people with disabilities, constitutes a violation of the basic human rights of the most vulnerable individuals in our society.",2
"eighty per cent qualified staff allows ece centres to employ other staff such as parents, grandparents, nurses or other carers.",5
"stations will be developed at five important locations: boggo road, woolloongabba, albert street, roma street and the exhibition showgrounds.",4
"increase the state pension by €30 a week and living alone allowance to €15 a week,",5
and clearly define recreational rights.,5
we will ensure nhs data is not exploited by international technology and pharmaceutical corporations.,4
"our welfare system should encourage people to work and support those who cannot due to age, incapacity or economic difficulties.",5
"in addition to the significant tax measures already described, every rural canadian tax filer will receive up front, each year, an annual green rural credit of $150.",7
an important component of such a system will be the use of victim surveys to fill the gaps left by official crime statistics as compiled by the police.,6
all students for whom public transport is not reasonably available within 90 minutes of their place of study will be eligible for the tertiary access allowance,7
every family's needs are different.,5
"we want government to encourage the sharing economy and on-demand platforms to compete in an open market,",4
"he wāhanga matua tō te whānau, tō te hapū, tō te iwi ki te ārahi i te whakarauoranga o te reo māori.",6
affordable housing is a human right.,5
parents deserve straight-forward information about the ece services in their area.,5
"end government funding of animal experimentation, including any that is outsourced to other countries.",5
"• 96 per cent of gps have access to electronic support tools to help them better assess depression, manage patients, and make referrals.",5
we have the best tv in the world.,0
it imposes an unnecessary administrative burden on those wishing to do business in both jurisdictions.,3
labour is committed to spend £1.8 billion over six years on equipping our schools for the information age.,5
"prioritise brownfields sites for new developments and preserve green field sites for recreational purposes and green infrastructure, through a new national spatial plan",5
"liberal democrats in government secured the first ever income-contingent loans scheme for graduate degrees, which we will protect and seek to extend.",5
